Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps,Year,Week,Tackle %,Sack %,QB Hit %
Latavius Murray ,RB,NO,1,33,33,50,36,6,42,42,8.5,25.8,2020,11,,,
Ryan Griffin ,TE,NYJ,1,27,27,45,0,0,0,0,0.0,0.0,2020,11,,,
Jack Doyle ,TE,IND,1,45,45,54,0,4,2,4,6.6,14.7,2020,11,,,
Derek Carr ,QB,LV,1,59,59,100,5,0,58,58,22.6,38.3,2020,11,,,
Logan Thomas ,TE,WAS,1,56,56,90,2,9,5,11,0.8,1.4,2020,11,,,
Carlos Hyde ,RB,SEA,1,46,46,70,30,7,35,37,15.5,33.7,2020,11,,,
Mike Evans ,WR,TB,1,61,61,88,0,15,8,15,10.9,17.9,2020,11,,,
Brandin Cooks ,WR,HOU,1,57,57,93,0,9,7,9,8.5,14.9,2020,11,,,
Davante Adams ,WR,GB,1,57,57,95,0,16,12,16,16.6,29.1,2020,11,,,
Donte Moncrief ,WR,NE,1,4,4,6,0,50,25,50,1.5,37.5,2020,11,,,
Jarvis Landry ,WR,CLE,1,38,38,57,3,5,8,8,2.6,6.8,2020,11,,,
Eric Ebron ,TE,PIT,1,70,70,93,0,10,6,10,9.6,13.7,2020,11,,,
Trey Burton ,TE,IND,1,24,24,29,0,21,8,21,8.5,35.4,2020,11,,,
James White ,RB,NE,1,39,39,57,13,23,28,36,8.3,21.3,2020,11,,,
Richard Rodgers ,TE,PHI,1,22,22,32,0,9,9,9,10.8,49.1,2020,11,,,
Willie Snead IV ,WR,BAL,1,48,48,74,0,15,6,15,2.3,4.8,2020,11,,,
Keith Smith ,RB,ATL,1,7,7,11,0,14,14,14,0.4,5.7,2020,11,,,
Adam Thielen ,WR,MIN,1,57,57,88,0,19,14,19,24.3,42.6,2020,11,,,
Cameron Brate ,TE,TB,1,29,29,42,0,14,10,14,2.3,7.9,2020,11,,,
Darren Fells ,TE,HOU,1,21,21,34,0,10,10,10,2.9,13.8,2020,11,,,
Diontae Spencer ,WR,DEN,1,1,1,2,0,0,0,0,0.0,0.0,2020,11,,,
Amari Cooper ,WR,DAL,1,54,54,82,0,13,11,13,8.1,15.0,2020,11,,,
DeVante Parker ,WR,MIA,1,63,63,97,0,14,10,14,12.1,19.2,2020,11,,,
Melvin Gordon III ,RB,DEN,1,34,34,52,44,0,44,44,18.4,54.1,2020,11,,,
Todd Gurley II ,RB,ATL,1,23,23,37,35,9,39,43,2.9,12.6,2020,11,,,
Maxx Williams ,TE,ARI,1,38,38,57,0,5,5,5,2.9,7.6,2020,11,,,
Duke Johnson Jr. ,RB,HOU,1,47,47,77,21,11,28,32,3.5,7.4,2020,11,,,
Mike Davis ,RB,CAR,1,52,52,73,37,4,40,40,13.9,26.7,2020,11,,,
Malcolm Brown ,RB,LAR,1,27,27,38,11,4,15,15,2.8,10.4,2020,11,,,
Jesse James ,TE,DET,1,29,29,52,0,7,3,7,0.3,1.0,2020,11,,,
Blake Bell ,TE,DAL,1,14,14,21,0,7,7,7,1.3,9.3,2020,11,,,
Nelson Agholor ,WR,LV,1,44,44,75,0,20,14,20,14.8,33.6,2020,11,,,
Tyler Lockett ,WR,SEA,1,49,49,74,0,18,18,18,12.7,25.9,2020,11,,,
Breshad Perriman ,WR,NYJ,1,59,59,98,0,7,3,7,11.4,19.3,2020,11,,,
Jamison Crowder ,WR,NYJ,1,56,56,93,0,7,2,7,1.6,2.9,2020,11,,,
Ty Montgomery ,RB,NO,1,2,2,3,0,0,0,0,0.0,0.0,2020,11,,,
Chris Manhertz ,TE,CAR,1,42,42,59,0,2,0,2,0.0,0.0,2020,11,,,
Darren Waller ,TE,LV,1,55,55,93,0,13,13,13,14.8,26.9,2020,11,,,
Chris Conley ,WR,JAC,1,37,37,64,0,11,3,11,1.3,3.5,2020,11,,,
Geoff Swaim ,TE,TEN,1,44,44,63,0,2,2,2,0.9,2.0,2020,11,,,
Michael Burton ,RB,NO,1,13,13,20,0,0,0,0,0.0,0.0,2020,11,,,
Damiere Byrd ,WR,NE,1,62,62,90,2,11,11,13,20.3,32.7,2020,11,,,
Ezekiel Elliott ,RB,DAL,1,46,46,70,46,4,50,50,17.4,37.8,2020,11,,,
Jared Goff ,QB,LAR,1,72,72,100,1,0,72,72,25.0,34.7,2020,11,,,
Derrick Henry ,RB,TEN,1,55,55,79,51,4,53,55,19.2,34.9,2020,11,,,
Carson Wentz ,QB,PHI,1,68,68,100,4,0,56,56,16.4,24.1,2020,11,,,
Michael Thomas ,WR,NO,1,57,57,86,0,21,16,21,10.4,18.2,2020,11,,,
Tyler Boyd ,WR,CIN,1,56,56,82,0,20,16,20,8.5,15.2,2020,11,,,
Devontae Booker ,RB,LV,1,15,15,25,33,7,40,40,1.9,12.7,2020,11,,,
Pharoh Cooper ,WR,CAR,1,3,3,4,0,0,0,0,0.0,0.0,2020,11,,,
Hunter Henry ,TE,LAC,1,75,75,91,0,9,5,9,10.8,14.4,2020,11,,,
Austin Hooper ,TE,CLE,1,45,45,67,0,11,7,11,3.3,7.3,2020,11,,,
Rashard Higgins ,WR,CLE,1,40,40,60,0,10,8,10,6.5,16.3,2020,11,,,
C.J. Prosise ,RB,HOU,1,15,15,25,20,13,33,33,1.2,8.0,2020,11,,,
Tyler Higbee ,TE,LAR,1,52,52,72,2,8,10,10,2.0,3.8,2020,11,,,
Will Fuller V ,WR,HOU,1,60,60,98,0,13,10,13,8.0,13.3,2020,11,,,
Kenyan Drake ,RB,ARI,1,33,33,49,33,15,45,48,12.0,36.4,2020,11,,,
Jacoby Brissett ,QB,IND,1,7,7,8,29,0,29,29,0.9,12.9,2020,11,,,
