Player,Team,Season,Date,Status,Opp,Injury,Week
Derrick Shelby,ATL,2016,2016-11-13,Injured Reserve,PHI,Achilles,10
Tyler Starr,ATL,2016,2016-11-13,Injured Reserve,PHI,Undisclosed,10
Jacob Tamme,ATL,2016,2016-11-13,Injured Reserve,PHI,Shoulder,10
Desmond Trufant,ATL,2016,2016-11-13,Injured Reserve,PHI,Pectoral,10
DeMarcus Van Dyke,ATL,2016,2016-11-13,Injured Reserve,PHI,Concussion,10
Sean Weatherspoon,ATL,2016,2016-11-13,Injured Reserve,PHI,Achilles,10
Matthew Bosher,ATL,2016,2016-11-27,Questionable,ARI,hamstring,12
Devin Fuller,ATL,2016,2016-11-27,Injured Reserve,ARI,Shoulder,12
Akeem King,ATL,2016,2016-11-27,Injured Reserve,ARI,Foot,12
Chris Mayes,ATL,2016,2016-11-27,Injured Reserve,ARI,Foot,12
Derrick Shelby,ATL,2016,2016-11-27,Injured Reserve,ARI,Achilles,12
Tyler Starr,ATL,2016,2016-11-27,Injured Reserve,ARI,Undisclosed,12
Jacob Tamme,ATL,2016,2016-11-27,Injured Reserve,ARI,Shoulder,12
Desmond Trufant,ATL,2016,2016-11-27,Injured Reserve,ARI,Pectoral,12
DeMarcus Van Dyke,ATL,2016,2016-11-27,Injured Reserve,ARI,Concussion,12
Sean Weatherspoon,ATL,2016,2016-11-27,Injured Reserve,ARI,Achilles,12
Adrian Clayborn,ATL,2016,2016-12-04,Out,KAN,knee,13
Devin Fuller,ATL,2016,2016-12-04,Injured Reserve,KAN,Shoulder,13
Akeem King,ATL,2016,2016-12-04,Injured Reserve,KAN,Foot,13
Chris Mayes,ATL,2016,2016-12-04,Injured Reserve,KAN,Foot,13
Derrick Shelby,ATL,2016,2016-12-04,Injured Reserve,KAN,Achilles,13
Tyler Starr,ATL,2016,2016-12-04,Injured Reserve,KAN,Undisclosed,13
Jacob Tamme,ATL,2016,2016-12-04,Injured Reserve,KAN,Shoulder,13
