,Player ,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA
34,Rashaad Penny,,,,,,,,,,,,,Questionable: Ankle,Out: Knee,Questionable: Knee,Questionable: Knee,
35,Ethan Pocic,,,Out: Ankle,Doubtful: Ankle,Questionable: Ankle,,,,,,,,,,,,
36,C.J. Prosise,,,,Doubtful: Abdomen,,,,,,,,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal
37,Jarran Reed,,,,,,,,,,,,,,Questionable: Oblique,Questionable: Groin,,
38,Jordan Simmons,,,,,,,Doubtful: Calf,Doubtful: Calf,Questionable: Calf,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
39,Shamar Stephen,,,,,,,,,Questionable: Foot,,,Questionable: Foot,,,,,
40,J.R. Sweezy,,,,,,,,,,,,,,,,Doubtful: Foot,
41,Earl Thomas,,,,,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout
42,Tedric Thompson,,,,,,,,,,,,,,,Out: Chest,Questionable: Ankle,
43,Neiko Thorpe,,,,,,,Doubtful: Groin,Doubtful: Groin,Doubtful: Groin,Questionable: Groin,,,,,,,
44,Nick Vannett,,,,,,Questionable: Back,,,,,,,,,,,
45,Bobby Wagner,,Out: Groin,,,,,,,,,,,,,,,
46,Erik Walden,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
47,K.J. Wright,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Out: Knee,,Questionable: Knee,Questionable: Knee,Doubtful: Knee,Out: Knee,Out: Knee,Out: Knee,Out: Knee,,,
,Player ,09/08vs. CIN,09/15vs. PIT,09/22vs. NOR,09/29vs. ARI,10/03vs. LAR,10/13vs. CLE,10/20vs. BAL,10/27vs. ATL,11/03vs. TAM,11/11vs. SFO,11/24vs. PHI,12/02vs. MIN,12/08vs. LAR,12/15vs. CAR,12/22vs. ARI,12/29vs. SFO,01/05vs. PHI,01/12vs. GNB
0,Ezekiel Ansah,Questionable: Shoulder,Questionable: Shoulder,,Questionable: Back,,,Questionable: Ankle,Questionable: Ankle,,,,,Questionable: Neck,Questionable: Neck,,,,Questionable: Neck
1,Nick Bellore,,,,,,,,,,,,Doubtful: Quadricep,Doubtful: Quadricep,,,,,
2,Marquise Blair,,,,,,,,,,,,,,,,,,Questionable: Ankle
