"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Lance Dunbar","RB","LAR","0","0","0","0","0","0","0","bye","0","10","5","0","0","0","0","0","24","39","9.8"
"Fitzgerald Toussaint","RB","PIT","0","0","0","0","0","0","0","0","bye","0","0","1","0","2","1","5","30","39","6.5"
"Pharaoh Brown","TE","OAK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","17","39","19.5"
"Garrett Griffin","TE","NO","0","0","0","0","bye","0","0","0","0","0","0","0","2","0","20","0","16","38","12.7"
"Kellen Clemens","QB","LAC","0","0","0","0","0","0","0","0","bye","0","17","0","0","15","0","0","4","36","4.5"
"Cameron Artis-Payne","RB","CAR","0","0","0","0","0","1","0","10","1","11","bye","1","0","0","0","0","12","36","2.8"
"Kalif Raymond","WR","Multi","0","0","0","0","0","0","0","0","0","0","2","1","0","8","22","0","0","33","4.1"
"Andre Roberts","WR","ATL","2","4","1","4","bye","5","4","0","2","0","0","1","0","0","0","0","9","32","2.0"
"Cole Hikutini","TE","SF","0","0","0","0","0","2","21","9","0","0","bye","0","0","0","0","0","0","32","8.0"
"Bobby Rainey","RB","BAL","0","0","0","0","0","4","9","5","13","bye","0","0","0","0","0","0","0","31","7.8"
"Josh Ferguson","RB","IND","0","0","0","0","0","0","13","0","0","0","bye","0","16","0","1","0","0","30","3.0"
"Eric Saubert","TE","ATL","2","1","1","0","bye","1","0","0","2","0","3","3","2","0","5","0","10","30","2.1"
"Nick Williams","WR","ATL","0","0","0","28","bye","0","0","0","0","0","0","0","0","0","0","0","0","28","28.0"
"Charone Peake","WR","NYJ","1","11","16","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","28","9.3"
"Victor Bolden Jr.","WR","SF","0","1","1","12","3","3","0","0","6","1","bye","0","0","0","0","0","0","27","3.0"
"AJ McCarron","QB","CIN","0","0","0","3","0","bye","0","0","0","0","0","0","0","9","14","0","0","26","8.7"
"Senorise Perry","RB","MIA","bye","0","0","0","0","0","0","0","0","0","0","0","12","1","0","0","13","26","1.6"
"Bernard Reedy","WR","Multi","0","7","4","2","3","1","2","3","2","0","0","0","0","0","0","0","0","24","2.2"
"Chad Henne","QB","JAC","0","0","9","0","0","0","0","bye","0","0","0","0","0","0","14","0","0","23","11.5"
"Harry Douglas","WR","TEN","0","0","0","0","0","0","0","bye","0","0","0","14","9","0","0","0","0","23","11.5"
"Vince Mayle","WR","BAL","0","1","0","2","9","5","3","1","0","bye","0","0","0","0","0","0","0","21","1.3"
"Quincy Adeboyejo","WR","BAL","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","21","21","21.0"
"JoJo Natson","WR","NYJ","0","0","0","0","0","0","0","0","0","0","bye","1","3","1","8","2","6","21","3.0"
"Gavin Escobar","TE","BAL","0","0","0","0","0","0","0","15","5","bye","0","0","0","0","0","0","0","20","10.0"
"Stacy Coley","WR","MIN","2","0","0","0","0","16","2","0","bye","0","0","0","0","0","0","0","0","20","5.0"
"De'Angelo Henderson Sr.","RB","DEN","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","5","15","20","4.0"
"Brian Hill","RB","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","7","5","7","0","19","2.7"
"Hakeem Valles","TE","DET","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","18","18","18.0"
"John Ross","WR","CIN","0","5","0","0","0","bye","0","6","0","6","0","0","0","0","0","0","0","17","5.7"
"Shelton Gibson","WR","PHI","0","0","0","0","0","0","0","0","0","bye","0","4","0","0","0","0","13","17","3.4"
"Evan Baylis","TE","Multi","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","16.0"
"Derek Anderson","QB","CAR","0","0","9","0","0","0","0","0","0","5","bye","0","0","0","0","1","0","15","5.0"
"Eric Weems","WR","TEN","0","3","5","0","0","4","1","bye","0","0","0","0","0","0","0","0","2","15","0.9"
"Raheem Mostert","RB","SF","1","0","8","0","4","1","0","0","1","0","bye","0","0","0","0","0","0","15","1.4"
"Cooper Rush","QB","DAL","0","0","0","0","0","bye","12","0","0","0","3","0","0","0","0","0","0","15","7.5"
"Marcus Murphy","RB","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","14","14.0"
"Mack Brown","RB","Multi","0","0","10","0","0","4","0","0","0","0","0","0","0","0","0","0","0","14","3.5"
"Devante Mays","RB","GB","0","0","0","0","0","0","0","bye","0","0","5","0","0","0","0","0","9","14","1.8"
"Matthew Slater","WR","NE","0","0","0","0","0","1","3","4","bye","0","0","0","0","0","3","2","0","13","1.4"
"Andre Williams","RB","LAC","0","0","0","0","0","0","0","0","bye","0","5","0","0","8","0","0","0","13","1.6"
"MyCole Pruitt","TE","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","13","13.0"
"Trey Edmunds","RB","NO","0","0","0","0","bye","0","0","0","0","13","0","0","0","0","0","0","0","13","0.8"
"John Kuhn","RB","NO","8","4","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","12","6.0"
"C.J. Spiller","RB","KC","0","0","0","0","0","0","12","0","0","bye","0","0","0","0","0","0","0","12","12.0"
"Geremy Davis","WR","LAC","6","0","0","0","0","0","0","0","bye","0","0","0","6","0","0","0","0","12","6.0"
"Sean Culkin","TE","LAC","11","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","11","11.0"
"Krishawn Hogan","WR","IND","0","0","0","7","3","0","0","0","0","0","bye","0","0","0","0","0","0","10","5.0"
"Marquez Williams","RB","CLE","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","10","10","10.0"
"Teddy Bridgewater","QB","MIN","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","9","0","0","9","9.0"
"Taylor Heinicke","QB","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","9","9.0"
"Matt Jones","RB","IND","0","0","5","4","0","0","0","0","0","0","bye","0","0","0","0","0","0","9","1.8"
"David Moore","WR","SEA","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","9","9","9.0"
"John Phillips","TE","NO","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","8","0","8","8.0"
"Dwayne Harris","WR","NYG","0","0","0","0","8","0","0","bye","0","0","0","0","0","0","0","0","0","8","1.6"
"Marcus Kemp","WR","KC","0","0","0","0","0","8","0","0","0","bye","0","0","0","0","0","0","0","8","8.0"
"Terrell Watson","RB","PIT","0","1","1","1","0","1","2","0","bye","0","0","0","0","0","0","0","0","6","0.6"
"Chase Daniel","QB","NO","0","0","0","0","bye","0","0","0","0","5","0","0","0","0","0","0","0","5","5.0"
"Austin Davis","QB","SEA","0","0","0","0","0","bye","1","0","0","1","0","0","0","0","3","0","0","5","1.7"
"Colt McCoy","QB","WAS","0","0","0","0","bye","0","0","0","0","0","0","0","4","0","0","0","0","4","4.0"
"Tyler Bray","QB","KC","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","4","4","4.0"
"Ben Braunecker","TE","CHI","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","2","2","4","0.5"
"Jason Vander Laan","TE","IND","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","4","0","0","4","1.0"
"Blake Jarwin","TE","DAL","0","0","0","0","0","bye","0","0","0","4","0","0","0","0","0","0","0","4","4.0"
"Johnny Mundt","TE","LAR","0","0","0","0","0","0","0","bye","0","3","1","0","0","0","0","0","0","4","2.0"
"Taiwan Jones","RB","BUF","0","0","0","0","0","bye","2","0","1","0","0","0","0","0","0","0","0","3","0.4"
"Allen Robinson II","WR","JAC","3","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","3","3.0"
"Joe Kerridge","RB","GB","0","0","0","0","0","0","0","bye","0","0","3","0","0","0","0","0","0","3","0.8"
"Austin Carr","WR","NO","0","0","0","3","bye","0","0","0","0","0","0","0","0","0","0","0","0","3","3.0"
"Jace Billingsley","WR","DET","0","0","0","0","0","0","bye","2","0","0","0","0","0","0","0","0","0","2","1.0"
"Taquan Mizzell","RB","CHI","0","0","0","0","0","0","1","1","bye","0","0","0","0","0","0","0","0","2","0.7"
"Darren McFadden","RB","DAL","0","0","0","0","0","bye","0","0","0","1","0","0","0","0","0","0","0","1","1.0"
"Matt Lengel","TE","CLE","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","1","0","1","1.0"
"Rashawn Scott","WR","MIA","bye","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1.0"
"Dare Ogunbowale","RB","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0.5"
"Taysom Hill","QB","NO","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","1","0","1","0.2"
""
""
