Player,Team,Season,Player_Address,Date,Status,Opp,Injury,Week,Position
Terrell Suggs,ARI,2019.0,/players/S/SuggTe99,2019-10-06,Questionable,CIN,Back,5,LB
Terrell Suggs,ARI,2019.0,/players/S/SuggTe99,2019-10-13,Questionable,ATL,Back,6,LB
Terrell Suggs,ARI,2019.0,/players/S/SuggTe99,2019-11-10,Questionable,TAM,Hamstring,10,LB
Terrell Suggs,ARI,2019.0,/players/S/SuggTe99,2019-11-17,Questionable,SFO,Hamstring,11,LB
David Johnson,ARI,2019.0,/players/J/JohnDa08,2019-10-13,Questionable,ATL,Back,6,RB
David Johnson,ARI,2019.0,/players/J/JohnDa08,2019-10-20,Questionable,NYG,Ankle,7,RB
David Johnson,ARI,2019.0,/players/J/JohnDa08,2019-10-27,Questionable,NOR,Ankle,8,RB
David Johnson,ARI,2019.0,/players/J/JohnDa08,2019-10-31,Questionable,SFO,Ankle,9,RB
Trevor Williams,ARI,2019.0,/players/W/WillTr05,2019-10-13,Questionable,ATL,Hip,6,CB
Trevor Williams,LAC,2019.0,/players/W/WillTr05,2019-09-08,Out,IND,Quadricep,1,CB
Trevor Williams,LAC,2019.0,/players/W/WillTr05,2019-09-15,Injured Reserve,DET,,2,CB
Trevor Williams,LAC,2019.0,/players/W/WillTr05,2019-09-22,Injured Reserve,HOU,,3,CB
Trevor Williams,LAC,2019.0,/players/W/WillTr05,2019-09-29,Injured Reserve,MIA,,4,CB
Trevor Williams,LAC,2019.0,/players/W/WillTr05,2019-10-06,Injured Reserve,DEN,,5,CB
Trevor Williams,LAC,2019.0,/players/W/WillTr05,2019-10-13,Injured Reserve,PIT,,6,CB
D.J. Foster,ARI,2019.0,/players/F/FostD.01,2019-10-20,Out,NYG,Hamstring,7,RB
D.J. Foster,ARI,2019.0,/players/F/FostD.01,2019-10-27,Out,NOR,Hamstring,8,RB
D.J. Foster,ARI,2019.0,/players/F/FostD.01,2019-10-31,Injured Reserve,SFO,,9,RB
D.J. Foster,ARI,2019.0,/players/F/FostD.01,2019-11-10,Injured Reserve,TAM,,10,RB
D.J. Foster,ARI,2019.0,/players/F/FostD.01,2019-11-17,Injured Reserve,SFO,,11,RB
D.J. Foster,ARI,2019.0,/players/F/FostD.01,2019-12-01,Injured Reserve,LAR,,13,RB
D.J. Foster,ARI,2019.0,/players/F/FostD.01,2019-12-08,Injured Reserve,PIT,,14,RB
D.J. Foster,ARI,2019.0,/players/F/FostD.01,2019-12-15,Injured Reserve,CLE,,15,RB
D.J. Foster,ARI,2019.0,/players/F/FostD.01,2019-12-22,Injured Reserve,SEA,,16,RB
D.J. Foster,ARI,2019.0,/players/F/FostD.01,2019-12-29,Injured Reserve,LAR,,17,RB
